,,,# Pl,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
league,season,team,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2021,Genoa,34,38.0,46,338,120,35.5,8.89,3.16,0.12,0.35,18.0,11,4,4,38.8,35.6,0.11,7.2,6.4,/en/squads/658bf2de/2020-2021/Genoa-Stats
ITA-Serie A,2021,Hellas Verona,32,38.0,38,400,118,29.5,10.53,3.11,0.09,0.3,16.6,13,3,3,46.0,43.6,0.11,-8.0,-8.6,/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats
ITA-Serie A,2021,Inter,25,38.0,84,543,194,35.7,14.29,5.11,0.14,0.39,16.3,17,8,9,74.2,67.2,0.13,9.8,8.8,/en/squads/d609edc0/2020-2021/Internazionale-Stats
ITA-Serie A,2021,Juventus,30,38.0,76,585,206,35.2,15.39,5.42,0.12,0.33,16.8,23,8,10,74.4,67.0,0.12,1.6,1.0,/en/squads/e0652b02/2020-2021/Juventus-Stats
ITA-Serie A,2021,Lazio,30,38.0,59,514,175,34.0,13.53,4.61,0.1,0.3,17.3,14,6,10,58.2,50.7,0.1,0.8,2.3,/en/squads/7213da33/2020-2021/Lazio-Stats
ITA-Serie A,2021,Milan,29,38.0,72,537,184,34.3,14.13,4.84,0.11,0.31,18.4,30,15,20,70.7,56.0,0.11,1.3,1.0,/en/squads/dc56fe14/2020-2021/Milan-Stats
ITA-Serie A,2021,Napoli,25,38.0,83,637,217,34.1,16.76,5.71,0.12,0.35,18.1,25,7,8,67.7,61.4,0.1,15.3,14.6,/en/squads/d48ad4ff/2020-2021/Napoli-Stats
ITA-Serie A,2021,Parma,42,38.0,39,392,123,31.4,10.32,3.24,0.09,0.28,18.1,20,5,5,42.5,38.6,0.1,-3.5,-4.6,/en/squads/eab4234c/2020-2021/Parma-Stats
ITA-Serie A,2021,Roma,31,38.0,67,537,191,35.6,14.13,5.03,0.11,0.31,17.2,15,7,8,67.2,61.0,0.12,-0.2,-1.0,/en/squads/cf74a709/2020-2021/Roma-Stats
ITA-Serie A,2021,Sampdoria,27,38.0,52,422,134,31.8,11.11,3.53,0.11,0.35,17.5,15,5,6,45.4,41.1,0.1,6.6,5.9,/en/squads/8ff9e3b3/2020-2021/Sampdoria-Stats
ITA-Serie A,2021,Sassuolo,28,38.0,61,516,164,31.8,13.58,4.32,0.09,0.29,18.7,25,13,14,58.4,47.7,0.09,2.6,0.3,/en/squads/e2befd26/2020-2021/Sassuolo-Stats
ITA-Serie A,2021,Spezia,35,38.0,52,382,130,34.0,10.05,3.42,0.13,0.37,16.8,10,4,5,46.6,42.7,0.12,5.4,5.3,/en/squads/68449f6d/2020-2021/Spezia-Stats
ITA-Serie A,2021,Torino,29,38.0,49,457,144,31.5,12.03,3.79,0.1,0.31,17.5,40,5,6,50.0,45.3,0.1,-1.0,-1.3,/en/squads/105360fe/2020-2021/Torino-Stats
ITA-Serie A,2021,Udinese,33,38.0,40,410,125,30.5,10.79,3.29,0.09,0.29,18.1,13,4,4,45.7,42.9,0.11,-5.7,-6.9,/en/squads/04eea015/2020-2021/Udinese-Stats
